"Town","County","Affordability Rating","Connectivity Rating","Safety and Security Rating","School Academic Rating","Overall Rating"
"Norwich","Norfolk",7.54208077592108,7.66451507133261,9.6679846679968,6.25231518335721,7.91070048390831
"Newmarket","Suffolk",5.65062457788948,10,7.81860871540498,7.35551663747811,7.53569827673428
"Felixstowe","Suffolk",7.62041619599435,9.18112763920864,7.16571823900588,4.93520140105078,7.49413734830927
"Brandon","Suffolk",9.73159303847009,2.31236909552129,7.81860871540498,7.25043782837128,7.02636769045179
"Downham Market","Norfolk",8.56488103022764,3.61925490677562,7.72520983768282,7.62171628721542,6.9770819897766
"Sheringham","Norfolk",6.99965393399135,3.75943784701875,9.13979687166316,8.07705779334501,6.8862462255692
"North Walsham","Norfolk",8.23527020825714,1.32389068281337,9.13979687166316,8.77758318739056,6.81490393961771
"Lowestoft","Suffolk",9.56429239789803,4.06706938643697,7.16571823900588,4.35960303561003,6.80963970096653
"Cromer","Norfolk",7.69278735706819,1.93689715428815,9.13979687166316,8.81961471103329,6.78459128811668
"Great Yarmouth","Norfolk",10,8.39924622401064,0,7.71628721541157,6.7572546383144
"Ipswich","Suffolk",7.32153910773525,9.89833594794433,2.39709814337523,6.91665591298738,6.67389559748533
"Swaffham","Norfolk",8.25039589461676,2.35470111984056,7.0075938941882,8.93169877408057,6.56796713273514
"Wymondham","Norfolk",7.43536307179493,0.583627026631734,8.72756943768671,10,6.43017619120784
"Stowmarket","Suffolk",7.19780542167907,1.39048487741706,9.36757734754039,7.13134851138354,6.27844973053456
"Haverhill","Suffolk",8.03706426414492,2.12702314184592,7.81860871540498,6.50788091068302,6.2755625933659
"Fakenham","Norfolk",7.4755949722002,2.074825987161,9.13979687166316,5.68476357267951,6.27282849087804
"Leiston","Suffolk",8.38309943293873,2.90686127615627,7.16571823900588,5.21190893169878,6.23401602007391
"Sudbury","Suffolk",6.41935796334901,1.73111656967602,10,6.83327495621717,6.20454567302373
"Thetford","Norfolk",8.3783624817055,1.95151916763319,7.0075938941882,5.76672504378284,6.0372138906197
"King's Lynn","Norfolk",7.72346508075326,1.73849804567655,7.72520983768282,6.22416812609458,6.00276496801767
"Bungay","Suffolk",7.88214879336575,0.932324960673042,7.16571823900588,7.20490367775832,5.86399842926149
"Dereham","Norfolk",7.55356302569573,1.0264419962572,7.0075938941882,7.89492119089318,5.83649421023883
"Wisbech","Norfolk",7.60678526181608,0.128336412585627,7.72520983768282,7.86690017513135,5.80579643047244
"Harleston","Norfolk",6.06846983153713,1.05373184952063,8.72756943768671,8.15411558669002,5.79240710084333
"Diss","Norfolk",6.26716684269037,0.729589776730449,8.72756943768671,8.13309982486866,5.77776317227622
"Beccles","Suffolk",7.53912240848628,1.11696727380704,7.16571823900588,6.91068301225919,5.74596667301231
"Bury St Edmunds","Suffolk",6.02165169510828,3.26483797943165,7.81860871540498,5.3844929151409,5.68611370426819
"Hunstanton","Norfolk",5.55142882504802,2.4841572526567,7.72520983768282,7.15936952714537,5.56924729042349
"Attleborough","Norfolk",6.97352116602613,0,7.0075938941882,8.08056042031524,5.40471494470348
"Eye","Suffolk",3.91273550869981,0.958834834622195,9.36757734754039,9.44658493870404,5.36804821439118
"Colchester","Suffolk",2.79590366983515,1.2726094108848,10,9.39404553415062,5.20582546728609
"Saxmundham","Suffolk",5.56036739266789,1.60473584403082,7.16571823900588,5.40105078809107,4.9488997264066
"Wells-Next-The-Sea","Norfolk",2.0194798896746,3.02483074342843,9.13979687166316,7.11733800350264,4.8155755656844
"Woodbridge","Suffolk",4.52980245945344,0.674152446838845,7.16571823900588,7.3660245183888,4.6503022100282
"Holt","Norfolk",2.12983814344753,2.13181724268995,9.13979687166316,5.77232924693521,4.42919626583519
"Halesworth","Suffolk",6.62635428223111,0.151384885067828,7.16571823900588,0,4.14849977979932
"Southwold","Suffolk",0,3.41666098229178,7.16571823900588,8.3152364273205,3.89288026942249
